ax1,ax1,ax1,ax1,ax1,w,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,w1,ax1,ax1,ax1,ax1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
w,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w1
w,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w1,.,.,az1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,rd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,rd,az1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,.,.,.,.,.,w1,.,.,.,.,.,.,.,w1,.,.,.,az1
w1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,.,.,.,.,.,.,.,.,.,w1,.,.,.,.,.,.,.,az1
